	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
1	0.12	0.03	0.14	0.11	0.21	0.03	0.09	0.08	0.04	0.02
2	0.07	0.0	0.07	0.16	0.05	0.14	0.07	0.11	0.16	0.19
3	0.22	0.07	0.33	0.14	0.18	0.12	0.0	0.14	0.19	0.18
4	0.26	0.05	0.19	0.17	0.19	0.1	0.16	0.2	0.27	0.17
5	0.17	0.17	0.24	0.25	0.2	0.24	0.26	0.19	0.33	0.27
6	0.33	0.25	0.37	0.26	0.27	0.33	0.23	0.25	0.24	0.26
7	0.27	0.3	0.37	0.4	0.25	0.36	0.36	0.39	0.39	0.39
8	0.45	0.44	0.5	0.31	0.43	0.33	0.33	0.33	0.38	0.4
9	0.43	0.45	0.59	0.37	0.51	0.43	0.27	0.5	0.56	0.53
10	0.47	0.54	0.58	0.65	0.7	0.64	0.5	0.48	0.55	0.51
11	0.61	0.62	0.71	0.56	0.65	0.53	0.55	0.63	0.62	0.54
12	0.65	0.75	0.76	0.75	0.69	0.56	0.56	0.73	0.65	0.75
13	0.89	0.71	0.85	0.74	0.73	0.72	0.78	0.62	0.71	0.7
14	0.78	0.94	0.91	0.8	0.88	0.69	0.63	0.84	0.9	0.85
15	0.93	0.82	0.98	0.91	0.94	0.86	0.87	0.9	0.98	0.87
16	1.07	1.03	1.11	0.94	1.07	0.85	1.1	1.08	0.88	0.95
17	0.99	1.15	1.12	1.03	1.14	1.12	1.05	0.97	1.13	1.0
18	1.15	1.15	1.2	1.07	1.1	1.14	1.21	1.08	1.13	1.18
19	1.16	1.22	1.26	1.17	1.24	1.16	1.17	1.1	1.34	1.1
20	1.24	1.22	1.23	1.16	1.23	1.18	1.19	1.29	1.33	1.2
21	1.19	1.15	1.37	1.23	1.38	1.18	1.32	1.15	1.25	1.22
22	1.28	1.33	1.36	1.31	1.3	1.18	1.37	1.37	1.24	1.36
23	1.27	1.19	1.27	1.26	1.29	1.3	1.4	1.36	1.32	1.32
24	1.29	1.39	1.32	1.23	1.31	1.32	1.34	1.38	1.32	1.4
25	1.27	1.31	1.4	1.32	1.34	1.4	1.29	1.33	1.4	1.25
26	1.36	1.27	1.3	1.3	1.25	1.37	1.16	1.23	1.35	1.31
27	1.4	1.4	1.27	1.4	1.33	1.38	1.25	1.4	1.28	1.23
28	1.28	1.23	1.22	1.28	1.4	1.36	1.25	1.35	1.37	1.28
29	1.23	1.21	1.4	1.2	1.33	1.18	1.17	1.26	1.31	1.29
30	1.36	1.2	1.32	1.21	1.25	1.22	1.13	1.24	1.2	1.24
31	1.24	1.16	1.27	1.21	1.18	1.28	1.16	1.2	1.18	1.25
32	1.18	1.14	1.2	1.14	1.29	1.19	1.08	1.09	1.22	1.14
33	1.1	1.05	1.21	1.17	1.19	1.16	1.0	1.2	1.14	1.21
34	0.97	1.09	1.14	1.05	1.08	1.03	0.91	1.16	1.12	1.13
35	1.0	0.98	0.97	0.99	1.14	1.06	0.92	1.0	1.07	0.93
36	0.85	0.91	0.89	0.91	0.96	0.75	0.98	0.88	0.8	0.88
37	0.85	0.78	0.92	0.89	0.76	0.76	0.86	0.84	0.94	0.75
38	0.7	0.57	0.73	0.79	0.65	0.71	0.76	0.74	0.72	0.66
39	0.7	0.71	0.68	0.6	0.6	0.69	0.69	0.74	0.69	0.65
40	0.64	0.61	0.78	0.59	0.57	0.69	0.56	0.6	0.6	0.62
41	0.56	0.52	0.55	0.46	0.63	0.54	0.41	0.48	0.52	0.52
42	0.41	0.5	0.52	0.46	0.49	0.46	0.44	0.44	0.4	0.46
43	0.3	0.32	0.5	0.55	0.34	0.42	0.4	0.29	0.39	0.29
44	0.29	0.33	0.34	0.44	0.43	0.39	0.26	0.36	0.27	0.36
45	0.26	0.1	0.31	0.33	0.19	0.25	0.2	0.14	0.25	0.33
46	0.24	0.18	0.36	0.33	0.16	0.25	0.12	0.12	0.26	0.18
47	0.19	0.19	0.19	0.23	0.15	0.1	0.22	0.19	0.12	0.18
48	0.09	0.13	0.21	0.33	0.12	0.08	0.15	0.08	0.05	0.0
49	0.0	0.11	0.12	0.2	0.08	0.0	0.11	0.06	0.26	0.13
50	0.11	0.01	0.09	0.0	0.2	0.02	0.02	0.06	0.13	0.05
51	0.09	0.05	0.09	0.12	0.15	0.1	0.12	0.06	0.0	0.05
52	0.01	0.1	0.0	0.16	0.0	0.01	0.02	0.0	0.09	0.08
