w     S1      S10     S2      S3      S4      S5      S6      S7      S8      S9     
1    0.135   1.878   3.054   0.132   0.133   0.14    0.129   3.384   1.671   4.888
2    2.681   5.589   6.326   1.14    0.122   0.138   1.408   5.3     4.379   7.717
3    3.574   6.755   6.408   7.4     0.112   0.128   0.128   5.298   3.129   7.074
4    2.394   5.578   6.451   6.12    1.998   0.13    0.128   5.446   5.747   5.774
5    1.254   4.418   6.071   5.063   2.246   0.116   0.124   4.276   5.956   4.674
6    0.114   5.154   4.831   3.923   2.506   0.121   2.239   3.146   4.994   3.444
7    5.049   5.999   3.841   2.913   2.915   1.287   1.199   2.166   4.014   2.344
8    4.049   4.929   2.781   1.913   3.231   0.117   0.109   1.166   3.014   3.676
9    5.314   3.869   1.721   1.023   3.593   0.101   0.094   0.106   2.114   2.546
10   4.344   2.919   0.891   0.093   2.723   1.544   1.034   0.081   1.214   1.606
11   3.354   2.089   0.081   0.084   2.003   0.704   0.094   0.989   0.434   0.726
12   2.614   1.239   0.071   0.083   1.293   0.064   1.408   0.249   0.068   0.066
13   1.824   0.649   0.616   0.062   0.693   1.628   0.748   0.059   0.072   0.064
14   1.384   0.059   0.056   0.043   0.063   1.058   0.068   0.053   0.056   0.058
15   0.994   0.462   0.05    0.681   0.041   0.528   0.407   0.049   0.05    0.045
16   0.484   0.042   1.733   0.341   1.253   0.048   0.037   0.048   0.041   0.04
17   0.044   0.039   1.433   0.031   0.983   0.026   0.461   0.503   0.041   0.034
18   0.018   0.029   1.003   0.031   0.663   0.275   0.231   0.253   0.033   0.253
19   0.022   0.456   0.723   0.014   0.453   0.025   0.021   0.023   0.039   0.023
20   0.018   0.276   0.503   0.015   0.303   0.022   0.362   0.835   0.018   0.324
21   0.012   0.266   0.333   0.012   0.223   0.013   0.132   0.635   0.119   0.154
22   0.065   0.226   0.203   0.011   0.173   0.008   0.012   0.505   0.099   0.014
23   0.055   0.066   0.183   0.003   0.173   0.021   0.008   0.405   0.009   0.018
24   0.055   0.006   0.143   0.003   0.133   0.014   0.066   0.315   0.009   0.012
25   0.055   0.002   0.013   2.44    0.133   0.009   0.066   0.245   0.003   0.012
26   0.005   0.007   0.013   2.34    0.043   0.009   0.006   0.125   0.006   0.095
27   0.002   0.007   0.007   2.34    0.033   0.009   0.008   0.125   0.002   0.055
28   0.264   4.217   0.392   2.23    0.003   0.503   0.015   0.055   0.008   0.005
29   0.154   4.077   1.391   2.08    0.011   0.417   0.005   0.005   0.014   0.001
30   0.014   3.977   2.51    4.423   0.772   0.297   1.362   3.852   0.021   1.895
31   0.021   3.747   3.64    4.103   0.582   0.027   3.837   5.027   0.018   1.715
32   0.98    3.307   4.893   3.903   0.352   4.328   3.567   6.112   2.383   2.366
33   0.64    2.957   4.603   3.613   0.032   5.878   3.207   5.692   2.033   2.046
34   4.71    4.204   6.655   3.263   2.879   5.398   2.697   5.332   1.633   1.686
35   6.04    5.192   6.205   2.883   2.419   4.998   2.197   4.962   3.129   1.256
36   7.458   4.712   5.565   2.353   1.979   6.024   8.21    6.097   2.719   0.616
37   6.838   6.261   4.975   1.753   1.349   6.083   7.53    6.132   2.149   0.056
38   6.168   6.296   4.335   6.555   0.759   5.413   8.497   5.492   1.559   4.383
39   5.438   6.384   3.635   5.775   0.069   4.693   8.488   6.031   3.632   3.733
40   6.129   6.421   7.608   5.045   0.074   6.244   7.678   5.111   2.852   4.494
41   7.494   5.611   6.668   7.264   2.76    6.243   6.878   4.291   3.88    3.654
42   7.526   6.732   5.598   7.32    4.71    6.513   7.1     3.321   2.8     4.908
43   6.476   6.171   4.508   6.36    5.904   6.658   6.14    2.311   1.74    5.2
44   6.606   5.091   5.306   6.142   4.814   6.814   5.14    1.221   0.72    4.119
45   6.657   3.901   4.086   4.992   3.674   6.668   3.98    0.111   3.918   5.44
46   5.297   2.671   2.846   3.812   2.554   5.368   2.76    0.108   2.768   4.22
47   4.087   1.441   1.496   2.632   1.364   4.128   1.54    1.54    1.368   2.91
48   2.867   0.131   0.136   1.452   0.124   2.848   0.14    0.14    0.238   1.54
49   1.507   0.131   4.17    0.132   0.121   1.518   0.134   0.114   3.835   0.14
50   0.137   0.129   2.84    0.127   2.71    0.138   0.126   1.353   2.595   0.132
51   0.13    0.14    1.54    0.126   1.54    0.135   0.128   0.123   1.375   0.128
52   0.135   0.139   0.14    0.14    0.14    0.132   0.127   0.13    0.125   0.134
