w     S1      S10     S2      S3      S4      S5      S6      S7      S8      S9      
1    0.066   0.056   0.55    1.151   0.057   3.252   4.915   0.06    0.053   0.059
2    0.062   0.055   0.05    0.451   0.904   2.682   4.485   0.046   1.105   0.056
3    0.044   0.049   0.044   0.041   0.484   2.212   4.035   0.031   0.495   0.05
4    0.042   0.038   0.04    1.233   0.044   1.672   3.705   0.031   0.045   0.039
5    0.036   0.77    0.033   0.923   0.031   1.412   3.455   0.03    0.039   0.037
6    0.026   0.42    0.702   0.623   0.028   1.272   3.235   0.556   0.027   0.011
7    0.022   0.22    0.452   0.353   0.021   0.932   3.075   0.456   0.019   3.579
8    0.014   0.02    0.272   0.183   0.013   0.882   2.905   0.366   0.198   3.459
9    0.011   0.018   0.132   0.143   0.01    0.722   2.785   0.296   0.088   5.142
10   0.011   0.018   0.132   0.013   0.01    0.622   2.615   0.246   0.008   5.622
11   4.159   0.01    0.012   0.018   0.006   0.442   2.525   0.126   0.008   5.552
12   4.804   0.01    1.362   0.018   0.002   0.342   2.465   0.116   0.012   6.901
13   4.774   0.006   1.322   0.018   0.78    0.292   2.435   0.116   0.011   6.901
14   4.664   0.008   1.322   0.016   2.212   0.202   2.435   0.076   0.025   6.801
15   4.644   0.024   1.122   0.253   2.212   0.132   2.405   0.066   0.01    6.601
16   4.524   0.544   0.932   0.023   2.877   0.012   2.345   0.006   0.019   6.481
17   4.304   0.374   1.62    1.287   2.697   4.985   2.245   0.566   0.026   6.261
18   3.974   0.034   1.46    0.897   2.517   4.985   1.955   0.506   0.031   6.041
19   3.654   0.253   1.12    0.952   2.217   7.46    1.695   0.286   0.032   5.731
20   3.374   0.023   0.84    0.512   1.877   7.478   1.335   0.026   0.031   7.314
21   2.994   4.023   0.44    0.072   1.507   7.483   7.235   2.68    0.043   7.501
22   2.564   3.593   0.04    1.287   0.877   7.491   6.775   2.931   0.583   7.141
23   2.104   3.033   0.059   0.737   5.997   7.488   7.681   2.501   0.053   6.731
24   1.574   2.493   0.071   0.067   6.379   7.505   7.071   2.071   0.07    6.061
25   0.814   1.763   6.307   3.797   5.769   7.52    8.48    1.491   0.069   5.431
26   0.074   3.071   7.586   3.007   4.979   7.357   8.548   0.781   0.079   6.323
27   5.021   2.071   7.595   2.167   4.139   6.587   8.552   0.071   3.087   5.493
28   4.041   1.111   7.236   1.177   3.389   5.727   8.044   0.858   2.147   4.523
29   3.101   0.101   6.236   0.107   5.051   4.727   7.064   0.078   1.177   3.513
30   2.061   1.133   5.126   1.155   4.94    3.757   5.944   0.096   0.107   2.473
31   5.252   0.103   4.016   0.105   3.9     2.627   4.754   0.098   5.11    1.353
32   5.48    0.111   2.766   3.508   2.74    1.397   3.614   0.101   4       0.123
33   4.2     0.127   1.496   2.218   1.54    0.127   2.514   0.1     2.89    0.117
34   2.87    0.12    0.136   4.164   0.14    0.668   1.254   0.905   1.54    0.119
35   1.54    0.132   0.127   2.824   0.126   0.14    0.114   0.115   0.14    2.733
36   0.14    0.131   2.137   1.474   1.441   0.134   0.115   0.123   0.123   1.463
37   0.133   0.126   2.74    0.134   0.131   0.135   0.14    0.12    1.496   0.133
38   0.131   0.14    1.54    0.138   0.128   0.876   0.122   0.108   0.136   0.131
39   0.116   0.123   0.14    1.507   5.142   0.127   0.133   0.14    0.133   0.14
40   1.496   0.139   0.126   0.137   3.832   0.133   1.001   0.122   0.133   0.132
41   0.136   0.132   1.063   0.131   2.452   0.128   1.364   0.119   0.131   0.137
42   0.118   0.124   1.31    0.14    1.232   0.122   0.124   0.12    0.12    0.118
43   0.128   0.335   1.342   0.137   0.112   0.132   0.113   2.217   0.129   0.117
44   0.121   1.298   0.122   0.278   1.37    0.117   0.112   1.177   0.119   1.32
45   0.57    0.118   2.118   2.018   3.18    0.116   4.726   0.107   0.123   0.12
46   2.104   0.105   1.188   3.472   2.1     2.06    3.619   1.123   0.108   0.111
47   1.144   3.102   0.108   2.392   1.1     3.561   2.589   3.561   4.342   0.105
48   0.104   3.051   0.101   2.622   0.1     2.789   1.649   2.721   3.312   0.094
49   0.096   2.241   0.088   1.712   0.095   2.408   0.869   1.961   2.392   0.085
50   0.081   1.541   0.081   0.902   0.08    1.558   0.079   1.241   1.572   0.085
51   0.07    0.891   0.074   0.082   0.062   0.748   0.075   0.671   0.792   0.081
52   0.063   0.081   0.066   0.075   0.063   0.068   0.069   0.061   0.072   0.063
