w   S1      S10     S2      S3    S4    S5      S6      S7    S8  S9   
1    0       3.228   4.334   1.452   0   1.54    1.419   4.624   0   0
2    0.499   4.991   4.552   2.268   0   1.378   2.399   3.216   0   0
3    0       2.466   1.452   7.56    0   1.27    0       1.198   0   0
4    0       0.043   1.303   0       0   1.302   1.28    1.378   0   0
5    0       0       0.87    0.163   0   1.146   1.236   0       0   0
6    0       1.856   0       0       0   1.215   3.175   0       0   0
7    5.965   2.125   0       0       0   2.306   0       0       0   0
8    0       0       0       0       0   0       0       0       0   0
9    2.315   0       0       0       0   0.994   0.925   0       0   0
10   0       0       0       0       0   2.433   1.85    0.785   0   0
11   0       0       0       0.831   0   0       0       1.728   0   0
12   0       0       0.7     0.829   0   0       2.024   0       0   0
13   0       0       1.195   0.599   0   2.344   0       0.4     0   0
14   0       0       0       0.411   0   0       0       0.524   0   0
15   0       0.893   0.494   1.258   0   0       0.769   0.486   0   0
16   0       0       2.133   0       0   0       0       0.479   0   0
17   0       0.387   0       0       0   0.238   0.664   0.805   0   0
18   0.154   0.28    0       0.31    0   0.629   0       0       0   0
19   0.224   0.727   0       0.123   0   0       0       0       0   0
20   0.176   0       0       0.151   0   0.217   0.591   1.092   0   0
21   0.114   0       0       0.117   0   0.121   0       0       0   0
22   0.113   0       0       0.109   0   0.075   0       0       0   0
23   0       0       0       0.022   0   0.223   0.076   0       0   0
24   0       0       0       0       0   0.133   0.128   0       0   0
25   0       0.016   0       2.457   0   0.085   0       0       0   0
26   0       0.075   0       0       0   0.09    0       0       0   0
27   0.017   0       0.064   0       0   0       0.082   0       0   0
28   0       4.27    0.425   0       0   0.604   0.157   0       0   0
29   0       0       1.139   0       0   0.014   0.04    0       0   0
30   0       0       1.209   2.403   0   0       1.467   4.127   0   0
31   0       0       1.36    0       0   0       2.605   1.355   0   0
32   0       0       1.543   0       0   4.611   0       1.335   0   0
33   0       0       0       0       0   1.93    0       0       0   0
34   0       1.697   2.432   0       0   0       0       0       0   0
35   0       1.428   0       0       0   0       0       0       0   0
36   0       0       0       0       0   1.726   6.523   1.685   0   0
37   0       2.139   0       0       0   0.689   0       0.625   0   0
38   0       0.575   0       5.452   0   0       1.687   0       0   0
39   0       0.908   0       0       0   0       0.771   1.199   0   0
40   1.471   1.047   4.813   0       0   2.391   0       0       0   0
41   2.205   0       0       3.159   0   0.939   0       0       0   0
42   1.042   2.281   0       1.026   0   1.23    1.222   0       0   0
43   0       0.499   0       0       0   1.075   0       0       0   0
44   1.18    0       1.908   0.832   0   1.316   0       0       0   0
45   1.151   0       0       0       0   1.134   0       0       0   0
46   0       0       0       0       0   0       0       1.077   0   0
47   0       0       0       0       0   0       0       2.642   0   0
48   0       0       0       0       0   0       0       0       0   0
49   0       1.31    5.364   0       0   0       1.334   1.114   0   0
50   0       1.288   0       1.265   0   0       1.252   2.449   0   0
51   1.293   1.411   0       1.259   0   1.347   1.282   0       0   0
52   0       1.389   0       1.414   0   1.317   1.269   1.307   0   0
1    0   0   1.21    0   0   3.812   5.565   0.66    0   0
2    0   0   0       0   0   0       0       0.446   0   0
3    0   0   0.434   0   0   0       0       0.295   0   0
4    0   0   0.396   0   0   0       0       0.31    0   0
5    0   0   0.323   0   0   0       0       0.299   0   0
6    0   0   0.839   0   0   0       0       0.786   0   0
7    0   0   0       0   0   0       0       0       0   0
8    0   0   0       0   0   0       0       0       0   0
9    0   0   0       0   0   0       0       0       0   0
10   0   0   0       0   0   0       0       0       0   0
11   0   0   0       0   0   0       0       0       0   0
12   0   0   1.53    0   0   0       0       0       0   0
13   0   0   0       0   0   0       0       0       0   0
14   0   0   0       0   0   0       0       0       0   0
15   0   0   0       0   0   0       0       0       0   0
16   0   0   0       0   0   0       0       0       0   0
17   0   0   0.958   0   0   5.063   0       0.63    0   0
18   0   0   0       0   0   0       0       0       0   0
19   0   0   0       0   0   2.725   0       0       0   0
20   0   0   0       0   0   0.318   0       0       0   0
21   0   0   0       0   0   0.385   6.25    2.934   0   0
22   0   0   0       0   0   0.388   0       0.601   0   0
23   0   0   0.609   0   0   0.467   1.396   0       0   0
24   0   0   0.722   0   0   0.607   0       0       0   0
25   0   0   6.846   0   0   0.695   2.219   0       0   0
26   0   0   2.029   0   0   0.567   0.798   0       0   0
27   0   0   0.969   0   0   0       0.774   0       0   0
28   0   0   0.491   0   0   0       0.372   1.617   0   0
29   0   0   0       0   0   0       0       0       0   0
30   0   0   0       0   0   0       0       0.978   0   0
31   0   0   0       0   0   0       0       0.982   0   0
32   0   0   0       0   0   0       0       1.013   0   0
33   0   0   0       0   0   0       0       0.999   0   0
34   0   0   0       0   0   1.741   0       1.895   0   0
35   0   0   0.293   0   0   0.872   0       0.36    0   0
36   0   0   0       0   0   1.334   1.151   1.238   0   0
37   0   0   0       0   0   1.351   1.425   1.197   0   0
38   0   0   0       0   0   2.041   1.202   1.068   0   0
39   0   0   0       0   0   0.521   1.341   1.432   0   0
40   0   0   0       0   0   1.336   2.148   1.202   0   0
41   0   0   0       0   0   1.275   1.603   1.187   0   0
42   0   0   0       0   0   1.214   0       1.201   0   0
43   0   0   0       0   0   1.33    1.119   3.127   0   0
44   0   0   0       0   0   1.155   1.119   0       0   0
45   0   0   3.166   0   0   1.159   5.814   0       0   0
46   0   0   0       0   0   3.124   0.033   1.976   0   0
47   0   0   0       0   0   2.611   0       3.468   0   0
48   0   0   0       0   0   0.138   0       0       0   0
49   0   0   0       0   0   0.509   0       0       0   0
50   0   0   0       0   0   0       0       0       0   0
51   0   0   0       0   0   0       0.746   0       0   0
52   0   0   0       0   0   0       0.684   0       0   0
1    0   0   1.354   0   0   1.476   0.302   0.099   0   0
2    0   0   0       0   0   3.601   0       0.979   0   0
3    0   0   0       0   0   0.343   0       0       0   0
4    0   0   0       0   0   0       0.098   0       0   0
5    0   0   0       0   0   0       0.254   1.424   0   0
6    0   0   0       0   0   0       1.029   0.373   0   0
7    0   0   0       0   0   0       0       0       0   0
8    0   0   0       0   0   0       0       0       0   0
9    0   0   0.451   0   0   0.376   4.269   0       0   0
10   0   0   7.147   0   0   0       0       0       0   0
11   0   0   0.602   0   0   2.261   0       0       0   0
12   0   0   0       0   0   0       0       6.34    0   0
13   0   0   0       0   0   0       0       0.975   0   0
14   0   0   0       0   0   0       0       0.679   0   0
15   0   0   0       0   0   0       1.063   0.885   0   0
16   0   0   0       0   0   0       0       1.166   0   0
17   0   0   0       0   0   1.147   3.451   0       0   0
18   0   0   0       0   0   2.35    0       0       0   0
19   0   0   2.447   0   0   0       0       0       0   0
20   0   0   0       0   0   1.229   3.542   0       0   0
21   0   0   1.143   0   0   1.395   0       2.69    0   0
22   0   0   1.348   0   0   1.292   0       0       0   0
23   0   0   1.176   0   0   1.289   1.312   0       0   0
24   0   0   3.978   0   0   1.312   2.73    1.334   0   0
25   0   0   0       0   0   1.343   0       1.285   0   0
26   0   0   0       0   0   1.405   1.367   1.147   0   0
27   0   0   1.413   0   0   2.129   1.381   2.509   0   0
28   0   0   1.213   0   0   1.775   1.864   0       0   0
29   0   0   1.208   0   0   0       2.179   4.523   0   0
30   0   0   1.199   0   0   1.242   0.987   0       0   0
31   0   0   1.156   0   0   2.474   0       0       0   0
32   0   0   1.138   0   0   0       1.181   0       0   0
33   0   0   1.041   0   0   1.18    1.157   0.992   0   0
34   0   0   0       0   0   1.069   1.017   0.901   0   0
35   0   0   0       0   0   1.146   1.063   0.921   0   0
36   0   0   0       0   0   0.942   0.719   0.986   0   0
37   0   0   0       0   0   0.74    0.761   0.848   0   0
38   0   0   0       0   0   0.639   0.705   0.75    0   0
