w;S1;S10;S2;S3;S4;S5;S6;S7;S8;S9;
1;1.485;0;0;0;1.463;0;0;0;0;6.208;
2;3.387;0;0;0;1.209;0;0;0;0;4.219;
3;2.293;0;0;0;1.11;0;0;0;0;0.657;
4;0;0;0;0;3.156;0;0;0;0;0;
5;0;0;0;0;1.438;0;0;0;0;0;
6;0;0;0;0;1.37;0;0;0;0;0;
7;0;0;0;0;1.499;0;0;0;0;0;
8;0;0;0;0;1.256;0;0;0;0;2.342;
9;0;0;0;0;1.262;0;0;0;0;0;
10;0;0;0;0;0;0;0;0;0;0;
11;0;0;0;0;0;0;0;0;0;0;
12;0;0;0;0;0;0;0;0;0;0;
13;0;0;0;0;0;0;0;0;0;0.638;
14;0;0;0;0;0;0;0;0;0;0.574;
15;0;0;0;0;0.388;0;0;0;0;0.437;
16;0;0;0;0;1.802;0;0;0;0;0.395;
17;0;0;0;0;0;0;0;0;0;0.334;
18;0;0;0;0;0;0;0;0;0;0.609;
19;0;0;0;0;0;0;0;0;0;0;
20;0;0;0;0;0;0;0;0;0;0.471;
21;0;0;0;0;0;0;0;0;0;0;
22;0;0;0;0;0;0;0;0;0;0;
23;0;0;0;0;0;0;0;0;0;0.184;
24;0;0;0;0;0;0;0;0;0;0.114;
25;0;0;0;0;0;0;0;0;0;0;
26;0;0;0;0;0;0;0;0;0;0.103;
27;0;0;0;0;0;0;0;0;0;0;
28;0.312;0;0;0;0;0;0;0;0;0;
29;0;0;0;0;0.118;0;0;0;0;0.006;
30;0;0;0;0;0.871;0;0;0;0;1.954;
31;0.217;0;0;0;0;0;0;0;0;0;
32;1.109;0;0;0;0;0;0;0;0;0.981;
33;0;0;0;0;0;0;0;0;0;0;
34;4.41;0;0;0;3.167;0;0;0;0;0;
35;1.8;0;0;0;0;0;0;0;0;0;
36;2.028;0;0;0;0;0;0;0;0;0;
37;0;0;0;0;0;0;0;0;0;0;
38;0;0;0;0;0;0;0;0;0;4.987;
39;0;0;0;0;0;0;0;0;0;0;
40;0;0;0;0;0.745;0;0;0;0;1.661;
41;0;0;0;0;3.536;0;0;0;0;0;
42;0;0;0;0;3.01;0;0;0;0;2.114;
43;0;0;0;0;2.184;0;0;0;0;1.422;
44;0;0;0;0;0;0;0;0;0;0.039;
45;0;0;0;0;0;0;0;0;0;2.581;
46;0;0;0;0;0;0;0;0;0;0;
47;0;0;0;0;0;0;0;0;0;0;
48;0;0;0;0;0;0;0;0;0;0;
49;0;0;0;0;1.207;0;0;0;0;0;
50;0;0;0;0;3.849;0;0;0;0;1.312;
51;0;0;0;0;0;0;0;0;0;1.276;
52;1.355;0;0;0;0;0;0;0;0;1.346;
1;0.726;0.616;0;1.781;0.627;0;0;0;0.026;0.649;
2;0.616;0.549;0;0;1.417;0;0;0;1.592;0.557;
3;0.422;0.484;0;0;0;0;0;0;0;0.494;
4;0.418;0.369;0;1.542;0;0;0;0;0;0.379;
5;0.354;1.112;0;0;0.297;0;0;0;0;0.368;
6;0.25;0;0;0;0.277;0;0;0;0;0.084;
7;0.216;0;0;0;0.203;0;0;0;0;3.708;
8;0.132;0;0;0;0.122;0;0;0;0;0;
9;0.107;0.178;0;0;0.097;0;0;0;0;1.843;
10;0;0.18;0;0;0;0;0;0;0;0.57;
11;4.248;0.092;0;0.185;0.056;0;0;0;0;0;
12;0.685;0;0;0;0.016;0;0;0;0;1.469;
13;0;0.056;0;0;0.938;0;0;0;0;0;
14;0;0.082;0;0.158;1.542;0;0;0;0;0;
15;0;0.256;0;0.507;0;0;0;0;0;0;
16;0;0.8;0;0;0.845;0;0;0;0;0;
17;0;0;0;1.614;0;0;0;0;0;0;
18;0;0;0;0;0;0;0;0;0;0;
19;0;0.599;0;0.335;0;0;0;0;0;0;
20;0;0;0;0;0;0;0;0;0;1.783;
21;0;4.32;0;0;0;0;0;0;0;0.527;
22;0;0;0;1.885;0;0;0;0;0;0;
23;0;0;0;0;5.62;0;0;0;0;0;
24;0;0;0;0;0.932;0;0;0;0.717;0;
25;0;0;0;4.42;0;0;0;0;0.689;0;
26;0;2.068;0;0;0;0;0;0;0;1.762;
27;5.747;0;0;0;0;0;0;0;3.798;0;
28;0;0;0;0;0;0;0;0;0;0;
29;0;0;0;0;2.612;0;0;0;0;0;
30;0;2.062;0;2.168;0.919;0;0;0;0;0;
31;4.241;0;0;0;0;0;0;0;6.053;0;
32;1.328;1.118;0;4.713;0;0;0;0;0;0;
33;0;1.286;0;0;0;0;0;0;0;1.164;
34;0;1.193;0;3.306;0;0;0;0;0;1.192;
35;0;1.332;0.968;0;1.246;0;0;0;0;3.964;
36;0;1.309;3.33;0;2.585;0;0;0;0;0;
