w;S1;S10;S2;S3;S4;S5;S6;S7;S8;S9;
1;0.012;0.388;1.324;0.014;4.427;1.266;0.272;0.009;2.638;0.004;
2;0.007;0.198;1.324;0.363;5.813;4.817;0.132;0.918;2.528;0.016;
3;0.022;0.018;1.254;0.033;5.673;4.98;0.012;0.918;2.388;0.658;
4;0.026;0.017;1.204;0.104;5.503;4.79;0.01;0.758;2.188;1.956;
5;0.017;0.027;1.034;1.461;5.253;4.59;0.024;1.922;1.998;1.626;
6;0.033;0.026;0.784;2.897;4.993;4.32;0.723;2.065;1.748;1.386;
7;0.027;0.039;0.484;4.187;4.593;4.07;0.363;1.705;1.358;0.996;
8;1.571;1.84;0.044;5.346;4.283;3.64;0.033;1.375;1.028;0.616;
9;1.141;1.31;0.045;6.268;3.913;3.506;3.872;1.105;0.528;0.056;
10;0.671;0.8;6.652;7.332;4.785;2.806;3.232;0.605;0.048;0.526;
11;0.061;1.52;6.665;7.332;4.225;4.417;2.702;0.055;7.518;0.062;
12;0.142;0.77;5.915;7.319;6.22;3.727;2.142;5.835;7.88;0.773;
13;0.972;0.07;5.205;6.706;6.037;2.997;1.422;6.03;7.878;0.779;
14;0.192;1.404;4.265;5.796;5.237;2.117;0.732;6.079;7.891;0.896;
15;1.934;6.305;3.445;4.816;4.327;1.177;0.935;6.094;7.904;0.098;
16;2.562;5.355;2.415;3.706;3.387;0.107;0.085;6.16;7.917;1.225;
17;1.572;5.605;1.265;2.586;2.357;0.114;2.416;5.11;7.907;1.456;
18;3.589;4.425;0.115;1.386;1.287;1.364;1.276;3.9;7.908;1.474;
19;3.906;3.916;1.342;0.126;0.117;0.124;0.116;2.73;6.808;0.134;
20;4.201;2.716;0.122;0.123;0.116;0.123;2.478;1.54;5.518;0.133;
21;4.578;1.496;0.115;5.49;1.441;0.138;1.298;2.91;4.368;0.125;
22;4.971;0.136;0.133;4.13;0.131;0.13;0.118;1.54;2.998;0.124;
23;3.701;0.132;0.119;2.86;0.126;0.129;0.13;0.14;1.638;1.05;
24;2.411;4.34;2.707;1.54;0.123;0.131;1.54;0.134;6.331;1.54;
25;1.141;5.083;1.397;0.14;0.132;0.134;0.14;0.129;5.001;0.14;
26;0.136;3.773;0.127;0.13;2.555;0.289;0.137;0.116;4.943;0.135;
27;0.14;2.699;0.14;0.127;2.461;1.088;0.138;1.375;3.543;0.128;
28;0.128;1.419;0.123;0.122;3.741;1.463;0.642;0.125;2.624;1.441;
29;0.123;0.129;0.121;0.14;2.541;0.133;1.641;3.478;1.364;0.131;
30;3.63;0.124;0.12;0.132;1.331;0.125;1.408;2.348;0.124;0.12;
31;2.39;3.035;0.116;0.127;0.121;1.419;0.128;1.188;0.12;0.118;
32;1.21;1.895;0.114;0.12;0.114;0.129;0.119;0.108;1.32;0.122;
33;0.11;3.028;0.105;0.121;5.655;0.119;0.116;0.1;0.12;0.114;
34;0.097;1.898;0.109;0.114;4.605;0.108;0.103;0.091;0.116;0.112;
35;0.1;0.968;0.098;0.097;5.089;0.114;0.106;0.092;0.1;0.107;
36;0.085;0.088;0.091;0.089;4.224;0.096;0.075;0.098;0.088;0.08;
37;0.085;0.075;0.078;0.092;3.505;0.076;0.076;0.086;0.084;0.094;
38;0.07;0.066;0.057;0.073;2.715;0.065;0.071;0.076;0.074;0.072;
39;0.07;0.065;0.071;0.068;2.115;0.06;0.069;0.069;0.074;0.069;
40;0.064;0.062;0.061;0.078;1.525;0.057;0.069;0.056;0.06;0.06;
41;0.056;0.052;0.052;0.055;1.065;0.063;0.506;0.041;0.048;0.052;
42;0.041;0.046;0.683;0.052;0.605;0.049;0.046;0.044;0.044;0.04;
43;0.03;0.396;0.363;1.046;0.055;0.034;0.042;0.04;0.029;0.039;
44;0.709;0.036;0.033;0.706;0.693;0.043;0.039;0.026;0.036;0.027;
45;0.449;0.033;0.01;0.396;0.363;0.019;0.025;0.02;0.014;0.025;
46;0.209;0.018;0.209;0.036;0.033;0.016;0.025;0.012;0.012;0.026;
47;0.019;0.018;0.019;0.019;0.023;0.015;0.01;0.022;0.019;0.012;
48;0.209;0.018;0.013;0.021;0.22;0.012;0.008;0.015;0.008;0.005;
49;0.209;0.013;0.011;0.012;0.02;0.008;0.008;0.011;0.006;0.143;
50;0.099;0.005;0.001;0.009;0.02;0.02;0.002;0.002;0.066;0.013;
51;0.009;0.005;0.005;0.009;0.012;0.015;0.01;0.012;0.006;0.013;
52;0.001;0.008;0.01;0.009;0.016;0.015;0.001;0.002;0.006;0.009;
