w;S1;S10;S2;S3;S4;S5;S6;S7;S8;S9;
1;4.507;1.898;0.082;1.776;0.093;0.082;0.085;0.087;0.968;0.089;
2;4.95;1.078;0.1;0.946;0.092;0.093;0.083;0.076;0.088;0.091;
3;4.06;0.098;0.094;0.086;1.155;0.104;0.092;0.093;1.32;0.098;
4;5.238;1.287;0.105;0.103;0.105;0.097;0.103;0.105;0.12;0.111;
5;5.072;0.117;0.662;0.113;0.12;1.441;0.117;0.112;0.107;0.105;
6;3.832;1.32;1.232;0.117;0.123;0.131;2.563;0.126;0.115;0.126;
7;2.602;0.12;0.112;0.107;0.121;1.441;1.353;0.121;0.133;0.112;
8;1.452;0.131;2.635;0.118;0.123;0.131;0.123;0.126;0.117;0.129;
9;0.132;1.723;1.375;0.126;0.134;0.129;0.134;4.18;0.131;0.136;
10;0.125;3.183;0.125;0.122;0.132;2.758;0.122;2.86;1.54;0.126;
11;0.126;3.301;1.042;0.126;1.416;1.408;3.439;1.54;0.14;1.54;
12;0.14;4.149;0.138;0.14;0.135;0.128;2.745;0.14;0.14;0.14;
13;0.13;2.769;0.12;0.131;0.14;0.117;1.485;0.135;0.139;0.136;
14;1.408;1.419;0.14;0.129;0.138;2.827;0.135;0.132;0.128;0.125;
15;0.128;0.129;3.183;0.116;0.134;1.507;0.117;0.131;0.136;0.129;
16;0.13;0.979;2.72;1.364;0.133;0.137;3.759;0.126;0.123;0.134;
17;0.128;0.902;1.43;0.124;1.386;0.129;2.479;0.129;0.126;0.129;
18;0.119;2.432;0.13;5.246;0.126;0.127;1.309;0.123;0.128;0.112;
19;0.118;1.232;0.113;4.106;0.124;0.121;0.119;0.118;0.117;0.118;
20;0.107;0.112;0.117;3.036;0.111;0.107;0.109;0.549;0.107;0.109;
21;0.116;0.104;0.103;1.986;0.104;0.096;0.095;0.115;0.108;0.1;
22;0.1;1.111;0.105;1.056;0.094;0.101;0.095;0.091;3.56;0.111;
23;0.083;0.101;0.09;0.096;0.079;0.092;0.099;0.092;2.55;0.081;
24;0.077;0.081;0.078;0.087;0.078;0.08;0.083;0.084;1.69;0.267;
25;0.086;0.072;0.083;0.07;0.078;0.067;0.074;0.075;2.728;2.067;
26;0.073;0.069;0.074;0.067;0.073;0.075;0.069;0.083;2.078;1.327;
27;0.055;0.062;0.058;0.064;1.017;0.046;0.062;0.062;1.468;1.043;
28;0.047;0.054;0.049;0.055;0.517;0.037;0.059;0.05;0.938;0.583;
29;0.056;0.058;0.052;0.055;0.047;2.453;0.05;0.049;0.528;0.053;
30;0.043;0.036;0.044;0.042;0.035;2.296;0.046;0.044;0.048;0.032;
31;0.037;0.035;0.028;0.036;0.029;2.046;0.041;0.027;0.035;4.694;
32;0.03;1.098;0.027;0.029;0.022;1.876;0.027;0.019;0.024;4.454;
33;0.023;0.808;0.033;0.023;0.286;1.606;0.022;0.029;0.013;4.284;
34;0.023;0.698;0.015;0.019;0.026;1.556;0.014;0.012;4.811;4.034;
35;0.02;0.628;0.015;0.014;0.016;1.496;0.51;0.172;4.621;3.784;
36;0.017;0.458;0.007;0.41;0.006;1.476;0.36;0.022;4.511;3.624;
37;0.005;0.458;0.007;0.26;0.01;1.436;0.21;0.002;4.371;3.364;
38;0.008;0.418;0.003;0.21;0.01;1.376;0.07;0.002;4.371;3.294;
39;0.015;0.348;0.007;0.21;0.019;1.346;0.07;0.006;4.261;3.194;
40;0.011;0.298;0.005;0.19;1.503;1.296;0.012;0.003;4.121;3.194;
41;0.014;0.198;0.017;0.11;1.373;1.296;0.012;1.889;4.041;2.974;
42;0.015;0.018;0.209;0.01;1.103;1.046;0.839;1.972;3.791;2.814;
43;0.008;0.018;0.019;0.017;0.903;0.906;0.629;1.772;3.721;2.524;
44;0.264;0.026;0.03;0.434;0.773;0.756;0.319;2.355;3.481;2.414;
45;0.024;0.023;1.586;0.154;0.433;0.576;0.029;2.025;3.191;2.134;
46;0.032;0.014;2.689;0.014;2.963;0.286;0.026;1.625;2.831;2.999;
47;2.385;2.359;2.329;2.517;3.226;0.026;2.435;1.205;2.371;2.569;
48;1.975;1.759;1.879;2.067;2.776;2.081;1.975;0.715;2.001;2.089;
49;1.365;1.329;1.329;1.457;2.196;1.431;1.365;0.065;1.401;1.439;
50;0.715;0.759;0.759;0.847;1.546;0.781;0.825;0.057;0.781;0.759;
51;0.065;0.069;0.069;0.077;0.946;0.071;0.075;0.071;0.071;0.069;
52;0.07;0.073;0.067;0.072;0.086;0.076;0.08;0.086;0.074;0.082;
